rank,score,retrieval,x,y,yaw,pitch,hfov,mpp,road,center_road,boundary_edge,bad,gps_dist,gps_prior,yaw_prior,pitch_prior,hfov_prior,mpp_prior,camera_prior,shape,out
1,3.9557123325841497,0.1444004774093628,230,498,178.62962297122579,5.359006042344061,67.98594563969722,0.5849090885436189,0.8176186084747314,0.842140793800354,0.7432613372802734,0.33238962292671204,0.0,1.0,0.9986011920671108,0.9840184153632592,0.9688061468805256,0.8686529607234798,0.9404925076557548,0.0,0.0
2,3.9556811656653257,0.15610791742801666,230,498,178.76868271182707,5.405461546505505,70.16651515058278,0.5867562701809476,0.8145011067390442,0.8397442102432251,0.7351795434951782,0.32775288820266724,0.0,1.0,0.9994541522147722,0.9796598266769818,0.9997834039652025,0.8632897551146542,0.9475776619189462,0.0,0.0
3,3.953938735378501,0.17184136807918549,230,498,178.96486952527118,5.352752747771476,68.5086845724432,0.5921314328484946,0.8176032304763794,0.8372926712036133,0.7351358532905579,0.32895001769065857,0.0,1.0,0.9999874067093505,0.9845660309264899,0.982774908226437,0.847228221126691,0.9381897200932059,0.0,0.0
4,3.9475060914048368,0.17184136807918549,230,498,178.05091877279372,5.495720668150112,70.40460551215385,0.5897583281599936,0.8160452842712402,0.8431989550590515,0.7382921576499939,0.3331742286682129,0.0,1.0,0.9908507322618604,0.9697496121564796,0.9987218673483161,0.8544010018791167,0.9409574937946376,0.0,0.0
5,3.9459110496783296,0.17184136807918549,230,498,178.85880163735285,5.25620226544885,70.18927872717566,0.5825248693751103,0.8102695941925049,0.8339021801948547,0.740968644618988,0.3450087904930115,0.0,1.0,0.999796582145134,0.9918286186277934,0.9997201451310467,0.8754521984944124,0.9556669874177507,0.0,0.0
6,3.9459066609869042,0.17184136807918549,230,498,179.26219038449287,4.7740680154957635,68.51629022349373,0.583390303602459,0.8136827349662781,0.8288714289665222,0.7394090890884399,0.33791419863700867,0.0,1.0,0.9992987786470076,0.9936396554668504,0.9829486521088542,0.873000461905573,0.9498629231604259,0.0,0.0
7,3.9455391788204075,0.17184136807918549,230,498,178.25404990000266,5.341108856287694,68.82178978986954,0.6063979798008593,0.8193362951278687,0.8436607122421265,0.7325069308280945,0.32669275999069214,0.0,1.0,0.9943381142171168,0.9855608524726115,0.9892134458511807,0.8016332230201022,0.925469173781298,0.0,0.0
8,3.945493437008705,0.17184136807918549,230,498,177.79632757293155,4.590919000593456,67.3193380695675,0.5914340565293427,0.8117792010307312,0.8402679562568665,0.747833251953125,0.32698309421539307,0.0,1.0,0.985324793902251,0.9792988642535235,0.9454065600239137,0.8493491774568465,0.9246848672447611,0.0,0.0
9,3.9439375306623377,0.17184136807918549,230,498,178.96913392859148,5.38040181059996,69.97668718172837,0.6000854951051022,0.8166235089302063,0.8300212621688843,0.7317769527435303,0.326903373003006,0.0,1.0,0.9999902784721095,0.9820744172468753,0.9999957540129536,0.8223027785473564,0.9347909832690617,0.0,0.0
10,3.941761560025216,0.17184136807918549,230,498,179.15016175755076,5.535373450838921,70.8405008034582,0.5861134398162907,0.8167937397956848,0.8361632227897644,0.7307487726211548,0.3354206383228302,0.0,1.0,0.9997699391881427,0.9648061376201151,0.9944961271095971,0.8651654979660841,0.9414892542319322,0.0,0.0
11,3.9398849601080377,0.1444004774093628,230,498,178.09047841614822,5.033470257670725,69.66208889716553,0.5888861704127465,0.813755989074707,0.8373996615409851,0.7351152300834656,0.33061760663986206,0.0,1.0,0.9915944087372606,0.9998599775354924,0.9991083359452771,0.8570049806747707,0.9519910980518467,0.0,0.0
12,3.9395164944067083,0.13793495297431946,230,498,178.73803563094665,4.848180242983907,70.49659130115575,0.5855456560778867,0.8131526708602905,0.8396279215812683,0.7388123273849487,0.34407147765159607,0.0,1.0,0.9992999866476904,0.9971229917157832,0.9980752693587385,0.8668140111799126,0.9540040907514782,0.0,0.0
13,3.9386225699700743,0.17184136807918549,230,498,178.57454943724903,5.079466672182567,68.9614933580132,0.5841221503180538,0.8144102692604065,0.8357341885566711,0.727769672870636,0.3379693925380707,0.0,1.0,0.9981546824372897,0.9992109424712762,0.9916096467938277,0.8709126474169435,0.9539110788940158,0.0,0.0
14,3.9385459956734876,0.15643778443336487,230,498,179.47927274208996,4.911198985177443,70.63627365475395,0.5993836636180554,0.8161561489105225,0.8252541422843933,0.7419195771217346,0.3353775143623352,0.0,1.0,0.9976588431465115,0.9990147831159683,0.9968421514960347,0.8245542387362672,0.9401370577827567,0.0,0.0
15,3.938472206827656,0.14521673321723938,230,498,178.08037017819734,5.208107313067675,68.9548386367012,0.5896367487207863,0.8140953779220581,0.8406617045402527,0.7350305914878845,0.33183789253234863,0.0,1.0,0.9914073439099661,0.994601045307712,0.9915022316174186,0.8547650467784567,0.9469561079011957,0.0,0.0
16,3.938080366282656,0.17184136807918549,230,498,177.90285307429298,5.049037567601736,67.01931441847331,0.5914470191355049,0.8119692802429199,0.8385079503059387,0.7402161955833435,0.3282358944416046,0.0,1.0,0.9877921545730042,0.9996994597917223,0.9329440469368762,0.8493098525819975,0.9273177864368654,0.0,0.0
17,3.937787051179065,0.1649695336818695,230,498,179.07296452135137,5.432978484764104,69.70543389849114,0.5969631575081887,0.8169242739677429,0.8299384117126465,0.7338635921478271,0.33373528718948364,0.0,1.0,0.9999456767676415,0.9768386431208956,0.9993223454291559,0.8322437109352316,0.9361348998284278,0.0,0.0
